Date, Close/Last, Volume, Open, High, Low
05/20/2019,$44.18,1187646,$45.50,$45.59,$43.63
05/17/2019,$45.66,1295136,$47.16,$48.45,$45.50
05/16/2019,$47.59,1770219,$48.79,$49.89,$47.35
05/15/2019,$48.90,4390232,$50.05,$50.48,$46.05
05/14/2019,$48.74,2608182,$47.08,$49.19,$46.91
05/13/2019,$46.47,1607428,$48.31,$48.70,$45.01
05/10/2019,$49.85,2564422,$46.00,$51.00,$45.60
05/09/2019,$46.40,907882,$45.77,$46.82,$44.31
05/08/2019,$46.05,1033272,$46.77,$47.16,$45.78
05/07/2019,$47.22,1309321,$49.50,$49.83,$46.86
05/06/2019,$49.79,615373,$49.40,$49.95,$49.11
05/03/2019,$50.22,581129,$50.66,$50.77,$49.50
05/02/2019,$50.23,1187867,$51.60,$51.88,$48.82
05/01/2019,$51.95,779288,$51.46,$52.74,$51.26
04/30/2019,$51.33,753076,$52.11,$53.41,$51.20
04/29/2019,$52.73,1276132,$53.64,$54.10,$51.12
04/26/2019,$53.15,1535002,$51.17,$53.63,$51.12
04/25/2019,$51.27,1312595,$51.27,$51.93,$49.78
04/24/2019,$51.30,915424,$50.35,$52.09,$50.30
04/23/2019,$50.26,1276740,$51.50,$51.89,$49.76
04/22/2019,$51.82,1606962,$49.00,$51.91,$47.68
04/18/2019,$48.97,1929116,$52.08,$52.55,$48.34
04/17/2019,$50.68,1038960,$50.70,$51.32,$49.80
04/16/2019,$50.16,1435292,$48.75,$51.15,$48.62
04/15/2019,$49.24,2419040,$51.94,$52.59,$48.56
04/12/2019,$52.91,2075473,$51.90,$54.42,$51.74
04/11/2019,$53.52,2127757,$57.00,$57.45,$53.01
04/10/2019,$57.05,789131,$56.39,$57.54,$56.39
04/09/2019,$56.42,1892982,$56.00,$57.79,$55.18
04/08/2019,$56.68,2721335,$58.50,$59.18,$56.22
04/05/2019,$59.54,2325473,$61.04,$61.56,$59.21
04/04/2019,$61.09,1638819,$63.18,$63.62,$60.81
04/03/2019,$63.38,706051,$63.50,$64.85,$63.18
04/02/2019,$63.73,1265371,$62.70,$64.85,$62.52
04/01/2019,$63.01,2283993,$64.80,$65.21,$62.52
03/29/2019,$65.52,782412,$66.00,$66.40,$64.96
03/28/2019,$65.94,1099245,$64.06,$66.25,$62.65
03/27/2019,$64.85,1428841,$66.50,$66.87,$63.40
03/26/2019,$66.95,1151295,$68.18,$68.59,$66.26
03/25/2019,$67.78,1248656,$67.15,$69.50,$67.01
03/22/2019,$67.16,1608163,$69.74,$69.88,$66.50
03/21/2019,$70.25,1093770,$69.66,$71.25,$69.30
03/20/2019,$70.73,1815165,$69.39,$71.25,$68.25
03/19/2019,$69.79,4204794,$75.15,$75.55,$69.30
03/18/2019,$72.24,3470245,$72.50,$73.77,$70.26
03/15/2019,$72.50,1415865,$72.95,$72.95,$71.00
03/14/2019,$72.29,1201015,$70.65,$72.59,$70.00
03/13/2019,$71.80,1197151,$73.47,$73.75,$70.50
03/12/2019,$72.15,1607668,$70.00,$73.75,$69.11
03/11/2019,$70.00,1615085,$69.30,$70.05,$67.57
03/08/2019,$70.00,2988794,$64.90,$70.00,$64.45
03/07/2019,$69.72,3574846,$75.79,$76.13,$69.61
03/06/2019,$75.86,1506464,$77.90,$78.68,$75.75
03/05/2019,$76.89,1407959,$77.00,$78.44,$76.63
03/04/2019,$77.25,1930687,$79.60,$79.99,$76.08
03/01/2019,$79.51,1613745,$82.52,$82.81,$78.94
02/28/2019,$81.31,1991129,$79.80,$82.78,$79.57
02/27/2019,$79.30,991598,$79.23,$80.46,$78.73
02/26/2019,$78.80,1878458,$77.39,$80.55,$76.60
02/25/2019,$77.39,1352562,$79.25,$79.65,$77.35
02/22/2019,$79.07,1267752,$79.00,$79.97,$77.26
02/21/2019,$79.20,2168761,$81.48,$83.10,$78.41
02/20/2019,$81.10,4345946,$77.25,$82.50,$77.25
02/19/2019,$77.03,939901,$75.97,$77.16,$75.86
02/15/2019,$76.49,1562007,$78.00,$78.36,$75.80
02/14/2019,$76.62,984840,$77.23,$77.55,$75.40
02/13/2019,$77.29,1499849,$76.45,$77.90,$75.71
02/12/2019,$75.94,1692191,$75.39,$78.28,$75.25
02/11/2019,$75.42,1720323,$79.40,$79.59,$75.35
02/08/2019,$79.24,1802532,$78.51,$79.27,$76.87
02/07/2019,$79.99,1979417,$76.81,$80.73,$76.51
02/06/2019,$78.15,2807118,$82.00,$82.35,$77.63
02/05/2019,$83.27,2507770,$84.72,$85.48,$81.09
02/04/2019,$83.07,4485718,$83.00,$89.88,$82.65
02/01/2019,$81.91,2289020,$80.60,$83.40,$80.51
01/31/2019,$80.49,2415568,$77.72,$81.88,$77.50
01/30/2019,$77.48,1951421,$78.09,$81.08,$76.82
01/29/2019,$79.06,3206446,$80.36,$81.35,$75.45
01/28/2019,$81.93,3638232,$72.57,$82.25,$72.52
01/25/2019,$75.35,2145870,$76.19,$77.62,$74.11
01/24/2019,$73.96,2528601,$71.74,$75.49,$71.50
01/23/2019,$71.74,2403517,$73.51,$74.99,$70.00
01/22/2019,$72.80,4505935,$78.71,$78.85,$72.00
01/18/2019,$77.20,5934050,$84.90,$86.43,$75.00
01/17/2019,$83.45,2956805,$84.25,$86.31,$82.56
01/16/2019,$85.61,4985718,$86.00,$87.62,$81.90
01/15/2019,$82.88,15198610,$99.00,$99.75,$82.00
01/14/2019,$100.15,5901487,$96.00,$106.00,$95.50
01/11/2019,$96.00,10857650,$92.48,$103.69,$89.16
01/10/2019,$80.40,4125414,$80.75,$86.12,$79.07
